City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,termas de rio hondo,-27.4998,-64.8604,14.78,95,100,2.49,AR,1682282901
163,queenstown,-31.8976,26.8753,14.85,61,98,0.82,ZA,1682283129
164,paracuru,-3.41,-39.0306,28.39,83,100,4.22,BR,1682283129
165,tatarbunary,45.8373,29.6142,10.02,70,80,2.53,UA,1682283129
166,port elizabeth,-33.918,25.5701,20.61,84,0,1.03,ZA,1682283129
167,port macquarie,-31.4333,152.9167,16.05,82,83,4.81,AU,1682283029
168,kuta,-8.7233,115.1723,26.97,94,20,4.12,ID,1682283130
169,veraval,20.9,70.3667,26.03,81,36,5.67,IN,1682283130
170,dadukou,26.5479,101.7054,17.15,54,70,0.91,CN,1682283131
171,hauterive,46.0901,3.4459,13.42,82,96,3.27,FR,1682283131
172,krasyliv,49.6519,26.9725,9.48,71,74,3.04,UA,1682283131
173,vadso,70.0744,29.7487,-1.91,80,40,9.26,NO,1682283131
174,kuqa,41.7278,82.9364,10.79,31,47,3.57,CN,1682283132
175,sao jose da coroa grande,-8.8978,-35.1478,25.9,81,70,4.04,BR,1682283132
176,kristiansund,63.1115,7.732,3.36,81,75,5.66,NO,1682283119
177,san pedro pochutla,15.7333,-96.4667,32.06,61,84,4.45,MX,1682283133
178,cabo san lucas,22.8909,-109.9124,32.01,44,53,3.12,MX,1682283133
179,maputo,-25.9653,32.5892,22.35,84,0,2.68,MZ,1682283133
180,tanout,14.9709,8.8879,30.8,8,32,3.83,NE,1682283133
181,east grand forks,47.93,-97.0245,6.02,57,75,5.14,US,1682283031
182,sur,22.5667,59.5289,27.63,59,96,6.54,OM,1682283134
183,flying fish cove,-10.4217,105.6791,26.84,81,30,7.06,CX,1682283134
184,la passe,45.5549,-0.8967,13.13,87,24,6.15,FR,1682283134
185,andergrove,-21.0833,149.1833,22.03,77,100,10.3,AU,1682282935
186,trail,49.0998,-117.7022,10.37,85,100,0.87,CA,1682283135
187,conduaga,8.862,117.4893,25.68,86,55,1.21,PH,1682283135
188,akureyri,65.6835,-18.0878,3.96,48,0,5.14,IS,1682283135
189,medicine hat,50.0501,-110.6683,14.56,30,75,8.23,CA,1682283135
